ID;x;y;HUNGER;THIRST;MILK
1-0;4;4;15;95;0
2-0;3;3;30;90;0
3-0;2;2;45;85;0
4-0;1;1;60;80;0
5-0;0;0;75;75;0
6-0;1;1;70;70;0
7-0;2;2;65;65;0
8-0;3;3;60;60;0
9-0;4;4;55;95;0
10-0;3;4;70;90;0
11-0;2;3;85;85;10
12-0;2;3;80;80;20
13-0;2;3;75;75;20
14-0;3;4;70;70;20
15-0;4;4;65;95;20
16-0;3;3;80;90;30
17-0;3;3;75;85;30
18-0;2;2;90;80;40
19-0;2;2;85;75;40
20-0;3;3;80;70;40
21-0;4;4;75;95;40
22-0;3;4;90;90;50
23-0;3;4;85;85;60
24-0;3;4;80;80;70
25-0;3;4;75;75;70
26-0;4;4;70;95;70
27-0;3;3;85;90;80
28-0;3;3;80;85;90
29-0;3;3;75;80;90
30-0;2;2;90;75;90
31-0;3;3;85;70;90
32-0;4;4;80;95;100
33-0;3;4;80;95;100
34-0;2;4;80;95;100
35-0;1;4;80;95;100
36-0;0;4;80;95;100
37-0;0;5;20;20;0
38-0;1;4;15;15;0
39-0;2;4;10;10;0
40-0;3;4;5;5;0
41-0;4;4;0;95;0
