ID;x;y;HUNGER;THIRST;MILK
1-0;3;5;15;95;0
2-0;2;4;30;90;0
3-0;1;3;45;85;0
4-0;0;2;60;80;0
5-0;0;1;75;75;0
6-0;1;2;70;70;0
7-0;2;3;65;65;0
8-0;2;4;60;60;0
9-0;2;5;55;95;0
10-0;1;4;70;90;0
11-0;0;3;85;85;10
12-0;0;3;80;80;20
13-0;0;3;75;75;20
14-0;1;4;70;70;20
15-0;2;5;65;95;20
16-0;1;5;80;90;30
17-0;1;5;75;85;30
18-0;0;4;90;80;40
19-0;0;4;85;75;40
20-0;1;5;80;95;50
21-0;1;5;75;90;50
22-0;0;6;90;85;60
23-0;0;6;85;80;70
24-0;0;6;80;75;70
25-0;1;6;75;95;70
26-0;0;7;90;90;80
27-0;0;7;85;85;90
28-0;0;7;80;80;100
29-0;0;6;80;80;100
30-0;0;5;20;20;0
31-0;1;6;15;95;0
32-0;1;5;30;90;0
33-0;0;4;45;85;0
34-0;0;3;60;80;0
35-0;0;2;75;75;0
36-0;1;3;70;70;0
37-0;2;4;65;65;0
38-0;2;5;60;95;0
39-0;1;4;75;90;0
40-0;1;3;90;85;10
41-0;1;3;85;80;20
42-0;1;3;80;75;20
43-0;2;4;75;70;20
44-0;2;5;70;95;20
45-0;1;5;85;90;30
46-0;1;5;80;85;40
47-0;1;5;75;80;40
48-0;0;4;90;75;40
49-0;1;5;85;95;50
50-0;1;5;80;90;60
51-0;1;5;75;85;60
52-0;0;6;90;80;70
53-0;0;6;85;75;70
54-0;1;6;80;95;80
55-0;1;6;75;90;80
56-0;0;7;90;85;90
57-0;0;7;85;80;100
58-0;0;6;85;80;100
59-0;0;5;20;20;0
60-0;1;6;15;95;0
61-0;1;5;30;90;0
62-0;0;4;45;85;0
63-0;0;3;60;80;0
64-0;0;2;75;75;0
65-0;1;3;70;70;0
66-0;2;4;65;65;0
67-0;2;5;60;95;0
68-0;1;4;75;90;0
69-0;1;3;90;85;10
70-0;1;3;85;80;20
71-0;1;3;80;75;20
72-0;2;4;75;70;20
73-0;2;5;70;95;20
74-0;1;5;85;90;30
75-0;1;5;80;85;40
76-0;1;5;75;80;40
77-0;0;4;90;75;40
78-0;1;5;85;95;50
79-0;1;5;80;90;60
80-0;1;5;75;85;60
81-0;0;6;90;80;70
82-0;0;6;85;75;70
83-0;1;6;80;95;80
84-0;1;6;75;90;80
85-0;0;7;90;85;90
86-0;0;7;85;80;100
87-0;0;6;85;80;100
88-0;0;5;20;20;0
89-0;0;5;20;20;0
