ID;x;y;HUNGER;THIRST;MILK
1-0;4;3;15;95;0
2-0;3;2;30;90;0
3-0;2;1;45;85;0
4-0;1;0;60;80;0
5-0;0;0;75;75;0
6-0;0;1;70;95;0
7-0;0;1;85;90;10
8-0;0;1;80;85;20
9-0;0;1;75;80;20
10-0;1;1;90;75;20
11-0;0;1;85;95;30
12-0;0;1;80;90;40
13-0;0;1;75;85;40
14-0;1;2;90;80;50
15-0;1;2;85;75;50
16-0;1;2;80;95;60
17-0;1;2;75;90;60
18-0;0;1;90;85;70
19-0;0;1;85;80;80
20-0;0;1;80;75;80
21-0;0;1;75;95;80
22-0;0;0;90;90;90
23-0;0;0;85;85;100
24-0;0;1;85;85;100
25-0;1;1;85;85;100
26-0;1;2;85;85;100
27-0;1;3;85;85;100
28-0;0;3;85;85;100
29-0;0;4;85;85;100
30-0;0;5;20;20;0
31-0;0;4;15;15;0
32-0;0;3;10;95;0
33-0;0;3;25;90;0
34-0;0;4;40;85;0
35-0;1;3;55;80;0
36-0;1;2;70;75;0
37-0;1;2;65;95;0
38-0;0;1;80;90;10
39-0;0;1;75;85;10
40-0;0;0;90;80;20
41-0;0;0;85;75;20
42-0;0;1;80;95;30
43-0;0;1;75;90;30
44-0;1;0;90;85;40
45-0;1;0;85;80;50
46-0;1;0;80;75;50
47-0;0;1;75;95;50
48-0;0;1;90;90;60
49-0;0;1;85;85;70
50-0;0;1;80;80;80
51-0;0;1;75;75;80
52-0;0;1;70;95;80
53-0;0;0;85;90;90
54-0;0;0;80;85;100
55-0;0;1;80;85;100
56-0;1;1;80;85;100
57-0;1;2;80;85;100
58-0;1;3;80;85;100
59-0;0;3;80;85;100
60-0;0;4;80;85;100
61-0;0;5;20;20;0
62-0;0;4;15;15;0
63-0;0;3;10;95;0
64-0;0;3;25;90;0
65-0;0;4;40;85;0
66-0;1;3;55;80;0
67-0;1;2;70;75;0
68-0;1;2;65;95;0
69-0;0;1;80;90;10
70-0;0;1;75;85;10
71-0;0;0;90;80;20
72-0;0;0;85;75;20
73-0;0;1;80;95;30
74-0;0;1;75;90;30
75-0;1;0;90;85;40
76-0;1;0;85;80;50
77-0;1;0;80;75;50
78-0;0;1;75;95;50
79-0;0;1;90;90;60
80-0;0;1;85;85;70
81-0;0;1;80;80;80
82-0;0;1;75;75;80
83-0;0;1;70;95;80
84-0;0;0;85;90;90
85-0;0;0;80;85;100
86-0;0;1;80;85;100
87-0;1;1;80;85;100
88-0;1;2;80;85;100
89-0;1;3;80;85;100
90-0;0;3;80;85;100
91-0;0;4;80;85;100
92-0;0;5;20;20;0
93-0;0;5;20;20;0
